,Olympiad_Participation,Scholarship,School,Fav_sub,Projects,Grasp_pow,Time_sprt,Medals,Career_sprt,Act_sprt,Fant_arts,Won_arts,Time_art,Predicted_Hobby
222,1,1,1,0,1,4,3,0,0,0,0,1,2,0
223,1,1,1,2,1,2,4,0,0,0,0,0,3,0
224,1,1,1,0,0,4,2,0,0,0,0,1,1,0
225,1,1,1,3,1,4,2,0,0,0,0,1,2,0
226,1,1,1,2,1,4,2,0,0,0,0,1,1,0
227,1,1,1,3,1,3,2,0,0,0,0,1,3,0
228,1,1,1,2,0,4,1,0,0,0,0,1,3,0
229,1,1,1,0,0,4,3,0,0,0,0,1,3,0
230,1,1,1,2,0,3,2,0,0,0,0,1,1,0
231,1,1,1,0,1,2,3,0,0,0,0,1,2,0
232,1,1,0,3,0,3,1,0,0,0,0,1,3,0
233,1,1,1,0,1,4,3,0,0,0,0,1,3,0
234,1,1,1,3,1,4,3,0,0,0,0,1,3,0
235,1,1,1,2,1,3,3,0,0,0,0,1,2,0
236,1,1,1,2,1,3,2,0,0,0,0,1,1,0
237,1,1,1,0,0,4,3,0,0,0,0,1,2,0
238,1,1,1,3,1,3,3,0,0,0,0,1,1,0
239,1,1,0,2,0,4,3,0,0,0,0,1,3,0
240,1,1,1,3,1,5,3,0,0,0,0,1,1,0
241,1,1,1,2,1,5,3,0,0,0,0,1,1,0
242,1,1,1,2,1,2,3,0,0,0,0,1,2,0
243,1,1,1,0,1,3,2,0,0,0,0,1,2,0
244,1,1,1,3,1,3,4,0,0,0,0,1,3,0
245,1,1,1,0,1,2,3,0,0,0,0,1,2,0
246,1,1,1,0,1,5,5,0,0,0,0,1,1,0
247,1,1,1,3,1,5,3,0,0,0,0,1,2,0
248,1,1,1,2,1,3,3,0,0,0,0,1,3,0
249,1,1,1,2,1,5,3,0,0,0,0,1,3,0
250,1,1,1,2,1,3,3,0,0,0,0,1,3,0
251,1,1,1,3,1,2,3,0,0,0,0,1,3,0
252,1,1,1,2,1,2,4,0,0,0,0,0,3,0
253,1,1,1,3,1,5,3,0,0,0,0,1,1,0
254,1,1,1,2,1,3,2,0,0,0,0,1,1,0
255,1,1,1,2,1,4,4,0,0,0,0,1,1,0
256,1,1,1,1,0,4,1,0,0,0,0,1,1,0
257,1,1,1,3,1,3,1,0,0,0,0,1,2,0
258,1,1,1,2,1,2,4,0,0,0,0,0,3,0
259,1,1,1,3,1,3,3,0,0,0,0,0,1,0
260,1,1,1,3,1,5,2,0,0,0,0,1,2,0
261,1,1,1,2,1,5,3,0,0,0,0,1,3,0
262,1,1,1,3,1,3,2,0,0,0,0,1,2,0
263,1,1,1,2,1,4,1,0,0,0,0,1,2,0
264,1,1,1,0,1,4,3,0,0,0,0,1,2,0
265,1,1,1,0,1,5,3,0,0,0,0,1,1,0
266,1,1,1,3,0,4,1,0,0,0,0,1,1,0
267,1,1,1,3,1,4,4,0,0,0,0,1,5,0
268,1,1,1,1,0,4,1,0,0,0,0,1,1,0
269,1,1,1,2,0,3,4,0,0,0,0,1,1,0
270,1,1,1,3,0,4,2,0,0,0,0,1,1,0
271,1,1,1,0,1,2,2,0,0,0,0,1,1,0
272,1,1,1,0,1,4,2,0,0,0,0,1,1,0
273,1,1,1,2,1,4,2,0,0,0,0,1,2,0
274,1,1,1,3,1,3,2,0,0,0,0,1,2,0
275,1,1,1,2,0,4,3,0,0,0,0,1,2,0
276,1,1,1,2,1,3,2,0,0,0,0,1,1,0
277,1,1,1,0,1,5,1,0,0,0,0,1,1,0
